tid,artist,category,genre,id,title,tracks,year
14,keedy,data,data,100015,chase the clouds,save some love wishing on the same star never neverland sorry only your heart gettin around don t turn away pretty boy mama lazy day save some love hot remix ,
15, ,data,rock,100016,subway express, ,
16,various,data,house,100017,micmac house dance party,colonel abrams i m caught up zhana can t stop dancin camille my love will set you free bmc a night at the m vol 2 no joke feel the music house factor movin and groovin diva diva boy i told you so hippie culture accelerator can you feel it mixmaster love machine d j professor runner supreme mind it s over now motivation featuring lee truesdale keep in touch ,1996
18,nature destroyed,data,,100020,shades,enter the realm dream of fear word of trust unforeseen desire shades bound imprisoned cold vengeance disease leaving the shadow ,
19,pearl jam,data,hard rock,100021,yield,brain of j faithfull no way given to fly wishlist pilate do the evolution untitled mfc low light in hiding push me pull me all those yesterdays ,1998
20,dingdong avanzado,data,,100022,the best of dingdong avanzado,ikaw lamang tatlong beinte singko maghihintay sa yo makapiling ka sana break kung break love at first sight basta t kasama kita paano sasabihin here i am i think i love you bakit hangang ngayon say amen ,
21,175r,data,jpop,100024,songs,inst ã â â ã âºâº ã æ â œã æ â ã æ â¼ã æ â ã â šâ ã æ â ã æ â ã æ â ã â šâ ã â šâº album version party ã æ ã æ æ ã æ â ã æ â¼ã æ â ã â šâ ã æ â ã â ã â šâ ã â ã â ¹ã âºâº ã æ â ã â ã â â album version ã â âºã â ã â â žã ë ã â end ofã â â ã â å ã â â ¹ã â â ã â ã æ å ã æ â¼ã æ å ã â šâ¹ã æ ë ã æ â ã æ æ ã â šâ cccd data ,2003
23,day after tomorrow,data,pop,100026,elements,high spirit time of destiny ã â šã â šå ã âµã â šå ã å ã â â ã â â ã â šâ ã â ã â ã â sentence stay in my heart oval losing myself funny days morning glow grow naturally flower of youth ,2003
24,v a,data,ccm,100027,ãƒã âºâ¹ cd 09 ,â ã â ã ã ã ã ãœ â¼â â â³â ãœ ã ã â ã â³âªâ â â ã â â â½ãƒâ ã â ã ã ãšâ ã ã â âµã ã ã ã ã ã ãœâ â â³ã ã ãœâ ã â â â½ãœâ¾ã ã ã ã ã â ã ã ãœ â³âªâ â ã â ã ã â â âµã ã ã âµâµâ½ãƒã ã â¹ã ã ã â ãƒâ â âºâ ã ãœ â¾ã â³ã â ãžã ã ã ãœ â â â¾ã ã ãœ â ã â ã ã ã â â â ã³ ã ã â½ãƒâ¹ã â ã â ã ã ã â½ã ã ã â ã â ã say ã ãœã â â ã â â ã ãœâ ã â â â¼ã â ã ã â â ã ã ã ã ãœâ â â ã ã ãžã â âµâ ã ã 2 â¹ãšâ ã³â³âª â³â ã ã â â â â â ã ã ãœ ã ã â ã ã ã ã âº ã ã âºãžâ âµ â³âªã ã â ã âµâµâ â ã ã²ãˆâ â³âªâ ã³ â ã â ã ã ã â ã ,2001
25,jazz signatures,data,data,100028,jazz signatures, duke ellington take the a train artie shaw begin the beguine glenn miller in the mood duke ellington mood indigo fats waller ain t misbehavin jelly roll morton orginal jelly roll blues louis armstrong basin street blues original dixieland jazz band tiger rag dizzy gillespie night in tunisia benny goodman sing sing sing duke ellington cotton tail coleman hawkins body and soul lena horne stormy weather ,1998
26,bernadã te bidã ude,data,data,100029,pomme d amour,ouverture margot les paroles gelã es le banquet belle d un bord adã le trente six pã pins la quãªte d adã le ambroise le pommier extraordinaire la quãªte d ambroise retour en gã tine ,
28,spartak,data,electronic,100031,golem,sigo viviendo leconseil lunaire naprzod vorwã rts tiden seerã uberjenny pour le grec i hate you excited body beat elven song f the army love letter for michelle ciao ciao ceaussescu ,1990
29, v8 5e,data,,100032, v8 5e,3 l f4o1b8 3 8 3 8 c 3d h z 32 3j8 88g 3j g bx0 n5r l 0hhw8i g6 o 190 3 g6 gr6 1nav so in love if you want my lovin pass me the mic someday ,
30,ã â šã å â ã å å ã â â¾,data,pop,100034,lucy,lucy ã æ å¾ã æ â ã â šâ ã æ ã â šâ ã â šâ¹ã æ ë ã æ â ã æ å ã â ã â âº ã â šâ ã æ â ã â šâ ã æ â ã â šâ ã æ â ã â â ã å â ã å â ã â â ã â šå ã â ã âµâ ã â žã â šâ¹ã â šâ ã æ â¼ã æ ë life is good honey bunny tã â šâ ã æ â ã æ â ž ã â âºã â â ã â ã ëœå rule ã â â²ã â âªã â ºã âªã â žã â â ã â â ã â ã â ã â ëœã â ã â å ã â ¹ã â šâ ã å â ã â œâ ã â šâ ã å â ã â ã â šâ ¹ ,2001
31,gazebo,data,,100035,the best of gazebo,i like chopin lunatic masterpiece dolce vita telephone mama sun goes down on milky way women come women go victims in paradise god bless the moonshade the fourteenth of july dancing with the moonlit knight trotsky burger waterland tycoon ,
32,dj irish,data,trance,100036,assorted trance vol 8,1 leama requiem for a dream leama s dream mix perfecto 2 quantum mechanics entrophy underworld recordings 3 planisphere hosanna green martian 4 york the awakening hiver hammer remix liquid music 5 andy jay powell mike nero skyliner hiver hammer remix audioplast 6 freebase shiva my angel mix xtc 7 green martian wizardry tranceportation 8 queen vanguard flash tomcraft remix frisbee tracks 9 gtr vs the shrink nervous breakdown gtr trance mix essential dance music 10 paul kershaw god s children pants corset remix sundissential 11 jon the dentist atto secondo phoenix uprising ,2003
33,sportfreunde stiller,data,data,100037,die gute seite,wie lange sollen wir noch warten komm schon ein kompliment sportbeat auf der guten seite independent international 7 tage 7 nã chte tage wie dieser der fortschritt 10 1 hurra wir fliegen ,
35,various,sonytsid7008,data,100039,salsaenlacalleocho 96,1996 estamossolos jorgeluispiloto 1996 reyruiz hastaqueteconoci juangabriel 1996 marcanthony situsupieras omaralfanno 1996 giro laguagua candidofabre 1996 celiacruz hechocadoconlavida ivetteayala 1996 titorojas apiadatedemi omaralfanno 1996 victormanuelle quemaneradequererte emiliorios 1996 gilbertosantarosa quienerestu luisenriquemejia 1996 luisenrique nuncavoyaolvidarte robertobelester 1996 india gotasdelluvia jairovalera 1996 gruponiche otropoco mariofiaz 1996 puertoricanpower rumbera donatopoveda 1996 willychirino ,
36,barbara streisand,data,easy listening,100040,a love like ours,i ve dreamed of you isn t it a pity the island love like ours if you ever leave me we must be loving right if i never met you it must be you just one lifetime if i didn t love you wait the music that makes me dance data ,1999
37,italo house,data,rave,100041,12 in mixes,rfx dr felix relax your body fpi project going back to my roots double dee feat dany found love african business african business secchi feat orlando johnson i say yeah wareband feat ted robinson party children tc 1992 funky guitar tfo feat dj f farfa just keep in your love jk you make me feel good glam hell s party sharon s wonderful alex party alex party giorgio prezioso get on up ,
38,deux,data,data,100042,forever,intor deux forever â³âªâ â âµâ¹â¾ã âºã â¾ã â ã ã ã â¾ãºâ¾ã â ã â ã ã ã â ã â ã â½ãƒ â¹â ã â âºã â¼ã â â â¼â go go go ãˆã âµã â¾ã â ã ã ã â³âªã ã â½â½ã ã â ã â â â ã â â â ã â â â â â¾ãˆâ â â¼â â¾ã ã ã â³â²ã ãš ,
39,v a ,data,ã â šâµã â šâ ã æ â³ã æ â ã æ ë ã æ â ã æ æ ã â šâ ã â â ã ë â ,100043,beating surviver another ,flash of love wild style qingdao ã âª ã â²â ã â â ã âºâ ¹edit quart acid to the muzik alien 3p 59 hardfloor style ã â ã â â ã â â millionaire stoic ss 1 sparker ss 2 wild 20 rebirth of beaterror edit route 135 s re birth ,2002
40,various,data,data,100044,custom music cd,angelina you re all that i need atlantic star masterpiece cd 2 track 3 cd 2 track 6 cd 2 track 14 atlantic star i ll remember you for real for all of my life cd 4 track 11 cd 4 track 10 subway and 702 this little game we play lannie s amanda perez god send me an angel inoj rather be alone genuine my pony ,
42,kool savas,data,deutsch rap,100046,euer bester freund mix cd,comet intro hã nde hoch intro no transatlantic remix fehdehandschuh skit dj rauchstyles ein rhyme early this morning kauf kauf ich weiãÿ nicht wie skit dj rauchstyles no 1 merkst du was dunne moment of ein mann armee neongelb joe budden lumidee skit fuck peter bei mir d u t katch blend elefanten rap de radio freestyle old school good in us nein live skit deutschland nr 1 fick uns boyz in da hood boom skit amar 16 bars voodoo therapie bauernhof optik boom lass rap wenn acapella kã nig von deutschland keiner auãÿer uns kiss fm hooo x und quer ready to rumple warum rappst du usa brechen das schweigen bitte spitte tash skit 10 gebote renexekution renexekution live weg zum ziel eon skit that smut changes ercandize wir sind profis maceo of de la soul sd tat tag egal was du tust ashanti rmx urban radio mya outro ,2004
43,robotika,data,data,100047,dance,i wanna love you yum yum spacer my love slave to the rhythm do it now it gonna be alright hello vicky i know there s something on lonely times excalibur it turns up ,
44,the breeders,data,rock,100048,pod,glorious doe happiness is a warm gun oh hellbound when i was a painter fortunately gone iris opened only in 3 s lime house metal man ,1990
45,johnny hallyday,data,,100049,vol 4,ma guitare hey joe san francisco mon p tit loup je serai lã je te promets noã l interdit je veux te graver dans ma vie aussi dur que du bois les mauvais garã ons ne me quitte pas oh ma jolie sarah ,
46,phallus,data,metal,100050,reason,save us reason seviin monster take it back hello there virginity creature of hate invaluable angry ocean killing time monster ,2003
47,ã â â ã â å½ã â¾ã â ã â šë ã â ,data,jpop,100051,home,fat mama ã â šâ ã æ â ã æ â ã æ å ã æ âªã æ â³ ã â šâ ã æ â ã æ âª ã æ â ã æ â³ã â šâ ã æ â ã æ å ã æ â³ ã â šâ¹ã â šâ ã æ âªã æ â¼ã æ å ã æ â³ 97 ã ã â ã â ã âªã â žã â³â ã â šâ³ã æ å ã æ â ã æ â ¹ã â šâ ã â šâ¹ã â ã âµ ã æ â ã â šâ ã â ã â â ã â šâ ã ëœâ¼ã â¼â ã â one more time one more chance ã æ â ã â šâµã â â ã â ã â â home ,1997
48,rolling stones,data,data,100052,giant stadium 17 08 1994 cd 2,band itroduction honky tonk woman happy the worst love is strong monkey man start me up street fighting man it s only rock n roll brown sugar jumping jack flash ,1994
51,various artists,data,dance,100056,essential selection winter 97 cd1 ,david holmes gritty shaker deep dish stranded club mix the brand new heavies you ve got a friend booker t dub soul ii soul pleasure dome booker t mix industry standard vol 1 what you want east 57th street saturday full intention club mix the heartists belo horizonti morales remix sex o sonique i thought it was you all saints never ever booker t dub armand van helden ultrafunkula sneak s mongolian beats mix double 99 rip groove goldie feat krs one digital armand van helden s garage mix poppers presents aura every little time baby blue mix dreamon the beat scratchers groove ,1997
52,ã ë â ã å â ã â šã â ,data,jpop,100057,infinity eighteen vol 1,intro identification track infinity 18 be together shadow dancing mix don t need to say good bye happy new millennium 2g mix my wish if you wanna be with me our days orchestral winter mix ã â šã â ã å ã â ã â ã â ã â¼å ã â žã â ã â ã â winter buzz night sky evidence of love breakin my heart outro vol 2 available in april ,2000
53,green day,data,,100058,dookie,burn out having a blast chump long view welcome to paradise pulling teeth basket case she sassafras roots when i come arround coming clean emenius sleepus in the end f o d ,
54,ã å â ã â²â ã â â ã â ,data,rock,100059,super live ã â â ã å â ã â â ã â œã â â disc 1,introduction ã â â ã â â ã å ã â šâ žã â ã â šâ ¹ã å ã â â ã â ã æ â ã æ â œã æ â ã å â ã â¾å ã â ã â â žã å ã â šâ ã æ â ã æ â ã æ â ã â ã â ã æ â ã â šâ ã æ ë ã â šâ ã æ â ã æ â ã â ¹â ã â žã â â ã â ¹ã â ã ë â ã â å ã â ã æ âªã æ ã æ â ã æ â¼ã æ â ã â âº ã â šâµã æ â ã â šâ ã â šâ ã â šâ ã â â¹ã â â ã æ â ã â šâ ã æ â ã æ â ã â šâ ã â šâºã æ â ã æ â ã â šâ ã æ â³ ã æ ë ã æ â ã æ â ã æ âªã æ â³ã æ â ã æ ã â šâ¹ ã â æ ã ë ã â šâ ¹ã â šâµã æ â³ã â šâ ã æ æ ã æ ë ,1990
56,in vanity we trust,data,synthpop,100062,posh,save the planet what s your excuse medusa and venus is vanity fair mend raw heavenly rebellion no space holding her pen touch now be untouched hidden treasure read me poetry ladida life no return once forgotten longed for twice ,1999
58,savage,data,,100064,tonight,radio a love again fugitive tonight a love again remix don t cry tonight computerized love only you turn around time magic carillon instrumental don t cry tonight extended don t cry tonight instrumental ,
59,atmo brtschitsch,data,,100065,change your life,everyday morningsun sittin green plane rockstar black sea some girls lucky people image stop taking always smiling coming home around me every night ,
60,del amitri,data,rock,100066,twisted,food for songs start with me here and now one thing left to do tell her this being somebody else roll to me crashing down it might as well be you never enough it s never too late to be alone driving with the brakes on ,1995
62,diversetion ,data,data,100068,zeitgeist the psychedelic shack future funk and beatsploitation ,genetica retrospace almighty beatfreakz leone superstars of rock strobelight serenade hustlers convention present disco roots dancin in outer space ost the spy who dubbed me part two agents on the run full intention in the streets classic mix genetica anti skate chris james featurin sally rodgers ghosts spirit of ophelia mix desert sonic boom manitu featuring adele waiting assassins of sound slipping in and out of consciousness ,
63,nikos hatzopoulos,data,ethnic,100069,the aegean violin,horos vlaha tzivaeri o perivolaris o katifes kalamatiano avgis o michanikos mi matzore ta paidia tis geitonias sou atzitzies roussiko balos to la ,1996
64,perseguidos,data,cumbia,100070,iii,una aventura perdoname todo no me dejes quererla dejame te quiero de que forma si no te amara un siglo sin ti no le tengas compasion te he querido olvidar que voy a hacer contigo sigo loco data ,2004
65,â ã ã ãÿâ ã ãˆâ¹,data,contemporary christian music,100071,â ãµâºâ â ã âµâµâ â ã â ã ã â ã ã â½â¾ã 6,â ã â â âºâ ã ã â¾ã â â â ã â â â ã â½ã â½ã ã ã â½ã ã ã ã ã â â â¹ã â ã³âºâ¼ã ã â ã³ â¼â¼â ã³ â ã âµã â¹ãžã â ã ãœ â¾ã ã â â³âª â³â â ã â½ã â ã âµã ã ãœâ â ã â â â â ã â¾ã â³â â ã â ã ã ã â ã â³âªã ã â¾ã â¹ã ã ã â³â â â ã âº â â â¾ãˆâ â ã ã â²â² â â â ã â ã â³âªã ã â â ã â½ã â ã â â ã â ãº â â ã ãœ â³âªã ã â â â ã â ã ã ã ã ã â ã â ã ã â ã ã ã ã â¼â ã ã â½ã ã âº â¾ã ã â â¾ãˆâ â³ â â â¾ã â â â â âµã â¾ã ã â â â ã ã ã ã ã ãžã ãšã ã â½ã ã âº ,2002
66,various artistsry cd2,data,club,100072,ministry of sound sessions eight todd terry cd2,free ultra nate it s alright i feel it nu yorican soul are you in love micheal watford pressure urban spirits movin on moodlife feat sonya rodgers back to paradise byron stingily not much heaven uptown express feat richie jones pepper m ashay bring you love visual feat b t can t you see raw grooves 3 kerri chandler spiller from rio laguna bet i get u hot brian bristol supernatural kim english ,1997
67,les vamps,data,,100073,2 eme show,innondation la madelon courrier du coeur veille tele scene de nuit matinee visite au cimetiere tranche de tartes medisances le concours commentaire ,
68,ã ã ã ã ã ã ãª,data,pop,100074,absolutã ã ã ã ãˆã 2,ã ãªã³ã ã ã ã²ã ã ã ã²ã ã ãšã ã ã ãªã ã ã ã ã ã 15 ã ã ã² ã ã³ãªã ã ã ã ã ãµ 10 ã ã ã² ã ãˆã ãƒã ã ã ã ã² ã²ã ãªã ã ã ã ã ã ãžã²ã ã ã²ã ã ã ã ã ã ã ã ã ãªã ã ã ã ã³ã²ã ã ãƒã ã ã ã ã ã ã ã ã ã ã²ã ã¹ã ã ã ã ã ã ã¼ã ã ã ã ã ã ã ã ã ã ã ã ã ã ã ã ãšã ã ã ã ã ã ã ã ã ãªã ãœã ã ã ã ã ã â ã² ã ã³ã ã ãªã ã ã ã ã ã ã ã ãžã ã ã ã ã ã ã ã ã ã ã ã ã ã ã 100 ã ã¾ã ã ã triplex ã ã ã ã ã ã ã ã ã ã³ã ã ã ã ã ã ã ã ã ã ãžã ã ã²ã ã ã ã ã³ã ã ã ã ã²ã ã ã ãªã ã ã ã²ã ã ã ãª ãƒã ã ã²ã ã ã ã ã³ã ã³ã¹ã ã ã ã ã ã ã ã ã ã ã ã ãšã ã ã ã ã ã ã ã ã ã ã ã ã ã ã²ã³ ã ã ã ã ã ã¼ ã ã ã ã ã ã ã ã ã ã ã ã ã ã ã ã ã ã ã ã ãªã ã ã ã ã ã ã ã ã ã ã ã ã mc ã ã ã ã ã ãªã ã ãšã ã ã ã ã ã ã ã ã ã ãµ ã ã ã ã³ã ã ã ã ã²ã ã ãªã ã ã ã ã ãªã ã ã ã ã ã ã ã ã ã ã ãªã ã ã ã ã ã ã ã ã ã ã ãœ ã ã ã ã ã ãªã ã ãšã ã ãªã ã ã ã ã³ã ã ã ã ã ã ã ã ã ãœã ã ã ã ã ãžã²ã ã³ã ã²ã ã ã¾ã ã ã ã¼ ãšã ã²ã ã ã ã ã¼ ã ã ã ã ã²ã ã ã ã ã ã ã¾ã ãªã ã ã ã ã ã ã ã ã ã ãž ãžã ã ã ã ã ã ã ã ã ã ã ã ã ã ã ã ã ã ã ã²ã ã ã ã ã ã¾ã ã ã ãƒã ã¾ãªã ã ã ã ã ã ã ,2003
69,buster b jones,folk,folk,100075,ballads barn burners,alabama jubilee three string swing sir thomas letty mostly merle ask john buster b boogie frere jacques guitarville just another rag le minuet lefty misdirected energy merci marcel skippy ,1999
71,franz lambert,folk,instrumental,100077,franz lambert spielt beliebte evergreens,musik ist trumpf april in portugal wir wir haben ein klavier warum mã¼ssen jahre vergeh n hey das ist musik fã¼r dich see you later alligator blinky wenn mademoiselle dich kã¼ãÿt western saloon moskau by night italy melody puppet on a string ,1977
72,leon siu and david kawika kahiapo,folk,,100078,slack key praise,ekolu mea nui lokomaika i amazing grace jesu meke kanaka waiwai nu oli glad tidings jesu no ke kahuhipa ke akua mana e how great thou art medley we will glorify he touched me glory glory lord shout to the lord blessed be the lord god almighty hawai i aloha ,
74,detlef jã cker,folk,vocal,100081,und weiter geht s im sauseschritt,und weiter geht s im sauseschritt mein nagelneuer roboter das zappellied wir bauen einen schneemann drei schritte rã¼ckwã rts gehen das wunderinstrument das flummilied tanzlied der tiere die eisenbahn im karneval im karneval obstsalat alle kinder dieser erde unbekannt ,
75,barry mcguire,folk,oldies,100082,eve of destruction,eve of destruction she belongs to me you never had it so good sloop john b baby blue the sins of a family try to remember mr man on the street act one you were on my mind ain t no way i m gonna change my mind what exactly s the matter with me why not stop dig it while you can ,1985
76,â¼â¼â¹ãœã ã â¼ã â â â â¹â¾ã â¼â â â³â ãœ,folk,,100083,â¼â¼â¹ãœã ã â¼ã â â ,ã ã â ãƒã ã ãƒãšâ ã invite from the heaven ã ã â ã ã ã â ã â ã love of god â³â â ã â â â â ã âº ã ã²ãˆâ peace like a river â³â â âµãˆâ â¾ã oh my soul â½ãƒã ã 133ã ã psalms 133 ã ã â³âªã ã ã ã â³âªâ ã the lord my god ã ã â ã ã â ã ã¹â¾ã ã ã â ã³ praise the lord ã ã â³âªâ ã ã ãœ ã ã â½ãƒâ ã ãƒã âºâ¹ the blessing from god ã ãœâ ã â¾ãÿ 61ã ã issaiah 61 â ã â ã ã ã â ã â ã love in jesus â ã â ã ã ã â ã â ã â¹ã ã ã love in jesus instrumental only ,
78,primus,folk,gospel,100085,juletoner,glã d dig du jord glade jul dejlige jul kom alle kristne jesus oh what a wonderful child nã r juleklokken kimer the greatest miracle englekor pã nattehimmel christ is born en rose sã jed skyde den yndigste rose er funden reflekser emmanuel ,1995
79,the pandanus club,folk,,100086,ho ike,e ku u sweetie ko olau hula ku u sweet lei oe ku u pua aloha ku u home a o hilo hawai i i ka hano puanani kalei aloha pili mau me oe lehua mamo ke anuenue kaupo honokahua nani e ,
81,clive gregson,folk,,100088,comfort and joy,frances o connor antidote fingerless gloves i m there for you it s you i want to hold if i was your lover catholic girl white suit of notes riding on a bus pretty peggy o string of pearls comfort and joy ,
82,various artists,folk,folk,100089,dorival caymmi,toquinho e vinicius dora agostinho dos santos saudade de itapoa maria creuza joao valentao pocho eu nao tenho onde morar ana lucia acalanto paulinho nogueira histã²ria de pescadores maria creuza saudade da bahia cauby peixoto sã² louco maria creuza marina agostinho dos santos nao tem soluã ao paulinho nogueira lã vem a baiana thereza tinoco sabado em copacabana toquinho vamos chamar o vento orchestra coro rge o que ã que a baiana tem ,
83,gauchesco,folk,folk,100090,mano lima,mano lima sem paia e sem fumo mano lima cuiãºdo da varsea mano lima estancia da anarquia mano lima tumbeiro mano lima ave maria mano lima america do sul mano lima clone do lobizome mano lima quando eu crescer mano lima dom santana mano lima depois do andador mano lima finado cascudo mano lima ariguã e mucunfa da estancia do cambuxim mano lima tronqueira ,2002
84,marco pereira,folk,folk,100091,elegia,marco pereira samba urbano canhoto da paraiba imagem marco pereira marco pereira flor das aguas garoto jorge da fusa marco pereira marco pereira ladeira de sao roque canhoto da paraiba com mais de mil marco pereira marco pereira elegia marco pereira bate coxa pixinguinha carinhoso marco pereira garoto desvairada marco pereira joã o pernambuco sons de carrilhoes marco pereira dilermando reis valsa brasileira marco pereira ze do norte mulher rendeira fantasia marco pereira ,1990
85,paveier,folk,folklore,100092,beinah gefã¼hlsecht und lebensfroh ,wenn ich mieh hã tz verlier ich will widder heim mã dche nemm mich in d r ã rm loss mich drã ume beinah beinah kã lsche huhzick immer widder segeln forell a la mademoiselle dat es joot immer wenn d r herrjott rã f hei hei heidewitzka helden ,
86,johnny light,folk,folk,100093,verhaal zonder woorden,verhaal zonder woorden ik heb vannacht van jou gedroomd die mooie dagen met jou el corazon na regen komt zonneschijn ik hou van jou dit mag eeuwig duren jij bent het helemaal als een droom in de nacht aan de middellandse zee waarom zie je me niet staan toe kom in m n armen als de warme stralen van de zon ,
87,keri noble,folk,pop,100094,fearless,look at me talk to me piece of my heart a dream about you about me let it rain falling love is all i know answered prayer bartender i won t if no one will listen ,2004
88,peder persson,folk,folk,100095,fã dselfest,peder persson fã dselfest peder persson stã r hon kvar peder persson mattis nattvisa peder persson sparvens sã ng peder persson myjjy va ales peder persson gã nglã t till vã stsã tern peder persson klagolã t frã n en ko peder persson min sommarsã ng peder persson nã r musslan dã r peder persson noname peder persson framtiden ã r ã nnu kvar peder persson ã st trã nder peder persson sovsã ng till albin ,2001
89,epo,folk,pop folk,100096,poptracks,ã â â ã â âªã â ºâ ã â ã â¹â ã â º ã â žã â ã â ¹ ã â šâ ã â šâ ã â šâ ã æ â¼ã æ â ã æ ã â šâ¹ã æ â ã â šâ¹ã æ ë ã æ æ ã æ â ã â ã â šë ã âªã â šâ ã â 2bã â ã â â ºã â â ã â âªã â â ã â â ã â â ¹ã â ã â šæ ã â žã âªã â šâ ã â šâ ã æ â³ try to call 12ã å ë ã â ã â ºâ ã â žã â ã â ã â ã â šâ ã æ âªã æ â¼ lovin you ,1987
90,north cregg,folk,folk,100097,summer at my feet,the pitchfork reel there was a maid in her father s garden polkas the recruited collier slides hornpipe reels summer at my feet jigs swallow sing reels deoindi fred finn s polka ,2003
91,eleni moraites,folk,,100098,rival,here it comes good friday blessed from the cradle sweetest best of me the bug song perfect wife what i had in mind scared to change something she says sleep tonight swallow do it all again ,
92,fabienne thibeault,folk,,100099,les plus belles chansons cd 2 2,je suis nã e ce matin je voudrais faire cette chanson le goã t du miel c est en hiver bon voyage histoire d amour les filles comme moi les choses de ma vie le coeur voyageur music hall je ne suis plus lã les gens de mon pays chaleur humaine ,
93,sofi marinova,folk,pop folk,100100,osadena liubov,edin jivot ne stiga osadena liubov nemil nedrag zashto si tuk zaklinanie sviato chudo bozhi dar pustinia talisman eh myje taina ,2002
95,justin mcroberts,folk,folk rock,100102,reason for living,reason for living second time around the story stands alone 5th wheel not free heaven help me jump back with your eyes michael s hands don t you believe sun song galatians 2 20 ,1999
