theta,delta,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,val_precision,val_recall,val_f1,test_precision,test_recall,test_f1
1,0.1,2777,1.00,0.00,9,18262,18271,0,,18,0.0,0.0,0,1.0,0.0019305019305019305,0.0038535645472061652
1.5,1,606,0.83,0.46,8387,9884,16544,1727,,320,0.11494252873563218,0.9180708890180128,0.20430594168229135,0.09236269738802265,0.9465648854961832,0.16830294530154277
1.5,0.6,617,0.85,0.46,8384,9887,16801,1470,,322,0.23036496350364963,0.9174418604651163,0.36826137689614935,0.0952088452088452,0.9465648854961832,0.17301520859494904
1.5,0.4,635,0.85,0.46,8382,9889,16827,1444,,313,0.23036496350364963,0.9174418604651163,0.36826137689614935,0.0952088452088452,0.9465648854961832,0.17301520859494904
1.5,0.25,2007,0.88,0.45,8139,10132,17200,1071,,256,0.7446601941747573,0.9034157832744405,0.8163916977115486,0.5415204678362573,0.944416114227435,0.6883478907266307
1.5,0.2,1463,0.89,0.38,6967,11304,17424,847,,207,0.7925170068027211,0.8576687116564418,0.8238067177371833,0.7654320987654321,0.9122438255386233,0.8324142891392952
1.5,0.15,3447,0.89,0.24,4470,13801,17742,529,,159,1.0,0.7069444444444445,0.8283157038242475,1.0,0.6798469387755102,0.809415337889142
1.5,0.1,2752,1.00,0.00,9,18262,18271,0,,18,0.0,0.0,0,1.0,0.0019305019305019305,0.0038535645472061652
2,1,486,0.82,0.52,9456,8815,16235,2036,,281,0.11792970895112576,0.9597765363128492,0.21005012837755227,0.09613907030349597,0.9833005893909627,0.1751531058617673
2,0.6,494,0.83,0.52,9453,8818,16389,1882,,283,0.11969866071428571,0.9591950810508664,0.21283720930232558,0.09744937694704049,0.9833005893909627,0.17732506643046944
2,0.4,529,0.85,0.52,9434,8837,16606,1665,,276,0.23813488759367193,0.9591950810508664,0.3815453029460812,0.09894132779261898,0.9828009828009828,0.17978336104993486
2,0.25,908,0.88,0.51,9247,9024,16962,1309,,244,0.4877906976744186,0.9480225988700565,0.6441458733205374,0.4570904084442405,0.9807976366322009,0.6235717639693223
2,0.2,2008,0.89,0.48,8751,9520,17235,1036,,197,0.8619201725997843,0.923699421965318,0.8917410714285715,0.7856573705179283,0.9757545769421079,0.8704480247186052
2,0.15,4064,0.90,0.42,7671,10600,17396,875,,120,1.0,0.8611620795107033,0.9254025632599409,1.0,0.9313371192565824,0.9644480085538626
2,0.1,5985,0.91,0.02,391,17880,18234,37,,18,0.9782608695652174,0.09221311475409837,0.16853932584269662,1.0,0.1043956043956044,0.1890547263681592
2.5,1,399,0.83,0.68,12433,5838,15650,2621,,262,0.12059020791415158,0.9825136612021858,0.21481481481481482,0.08589634664401019,0.9882697947214076,0.15805518643007896
2.5,0.6,424,0.84,0.68,12428,5843,15884,2387,,266,0.12247681396617567,0.981957353745216,0.21778936518523012,0.09282041865589423,0.9882697947214076,0.16970205623164078
2.5,0.4,432,0.85,0.68,12414,5857,16008,2263,,250,0.12257712257712258,0.981957353745216,0.2179479400521813,0.09419005875221487,0.9877750611246944,0.1719807585883956
2.5,0.25,511,0.89,0.67,12170,6101,16699,1572,,238,0.6648976497346475,0.9701327433628318,0.7890238416554206,0.439647577092511,0.9818002951303493,0.6073330290582687
2.5,0.2,528,0.90,0.64,11689,6582,16920,1351,,191,0.851063829787234,0.9486166007905138,0.8971962616822431,0.7022032693674485,0.9767671774592189,0.8170353524912135
2.5,0.15,551,0.90,0.58,10591,7680,17060,1211,,121,0.8895558223289316,0.8863636363636364,0.8879568603954463,0.9260020554984584,0.9307851239669421,0.9283874291602268
2.5,0.1,198,1.00,0.00,9,18262,18271,0,,18,0.0,0.0,0,1.0,0.0019305019305019305,0.0038535645472061652
3,1,372,0.82,0.70,12777,5494,15527,2744,,240,0.0960511155336755,0.9924242424242424,0.17515041543310095,0.08085887611749681,0.9892578125,0.1494982290436836
3,0.6,398,0.84,0.70,12772,5499,15766,2505,,244,0.09733290829879927,0.991878722252301,0.17727030819101067,0.08717728055077453,0.9892578125,0.1602341031319203
3,0.4,403,0.85,0.70,12733,5538,16040,2231,,228,0.18095614381667324,0.991878722252301,0.30607300977361956,0.08841516687052245,0.9887640449438202,0.1623160511648422
3,0.25,460,0.88,0.68,12463,5808,16603,1668,,218,0.4161349134001823,0.9902386117136659,0.5860077021822849,0.44742729306487694,0.9828009828009828,0.6149116064565718
3,0.2,512,0.89,0.60,10971,7300,16910,1361,,153,0.5427034297242771,0.9286536248561565,0.6850594227504245,0.6073333333333333,0.9362795477903392,0.7367569753336028
3,0.15,542,0.89,0.54,9783,8488,17063,1208,,126,0.5476014760147602,0.8870292887029289,0.6771617613506731,0.8234064785788924,0.8645090510148108,0.8434573187048434
3,0.1,179,1.00,0.00,9,18262,18271,0,,18,0.0,0.0,0,1.0,0.0019305019305019305,0.0038535645472061652
3.5,1,315,0.80,0.77,14001,4270,14861,3410,,202,0.052565778257657556,0.9967672413793104,0.09986504723346828,0.05612189567292051,1.0,0.10627920110900035
3.5,0.6,342,0.83,0.77,13979,4292,15341,2930,,206,0.0536460752438458,0.9962264150943396,0.10180976778778614,0.05783644702986911,0.9995166747220879,0.10934567085261071
3.5,0.4,341,0.85,0.76,13956,4315,15729,2542,,183,0.057647722288363935,0.9940572663425176,0.1089756877609642,0.08147154022262572,0.9985486211901307,0.15065143607897521
3.5,0.25,412,0.88,0.75,13729,4542,16413,1858,,178,0.31230821684282306,0.991878722252301,0.4750421366524051,0.3321405335068315,0.9931906614785992,0.4978059483178937
3.5,0.2,422,0.89,0.73,13311,4960,16609,1662,,142,0.32150615496017376,0.9763606377130292,0.4837259975486858,0.4113100081366965,0.9882697947214076,0.5808675667911519
3.5,0.15,527,0.89,0.51,9408,8863,17101,1170,,83,0.5531914893617021,0.8413192283758556,0.6674895087632683,0.9337175792507204,0.7700534759358288,0.8440247476392054
3.5,0.1,204,1.00,0.00,9,18262,18271,0,,18,,,,1.0,0.0019305019305019305,0.0038535645472061652
4,1,317,0.80,0.77,14090,4181,14851,3420,,202,0.052565778257657556,0.9967672413793104,0.09986504723346828,0.05670300772475757,1.0,0.10732061385317294
4,0.6,324,0.83,0.77,14068,4203,15329,2942,,206,0.0536460752438458,0.9962264150943396,0.10180976778778614,0.05783644702986911,0.9995166747220879,0.10934567085261071
4,0.4,335,0.85,0.77,14045,4226,15720,2551,,183,0.057647722288363935,0.9940572663425176,0.1089756877609642,0.08248081841432225,0.9985486211901307,0.15237532759957184
4,0.25,392,0.88,0.75,13773,4498,16430,1841,,142,0.3249379212486697,0.991878722252301,0.48951235804943216,0.398828125,0.9931906614785992,0.5691192865105907
4,0.2,417,0.89,0.73,13417,4854,16596,1675,,142,0.32150615496017376,0.9763606377130292,0.4837259975486858,0.4113100081366965,0.9882697947214076,0.5808675667911519
4,0.15,480,0.89,0.67,12328,5943,16808,1463,,81,0.5015634771732332,0.9255626081938835,0.6505779760697626,0.7117465224111282,0.941717791411043,0.8107394366197184
4,0.1,218,0.93,0.00,62,18209,18266,5,,29,0.8571428571428571,0.012806830309498399,0.02523659305993691,1.0,0.015340364333652923,0.03021718602455146
